industry_description,total_injuries,total_deaths,total_dafw_cases,total_djtr_cases
"""Showcase, Partition, Shelving, and Locker Manufacturing""",1,0,0,0
"""Softwood Veneer and Plywood Manufacturing""",4,0,1,0
"""Special Die and Tool, Die Set, Jig, and Fixture Manufacturing""",0,0,0,0
"""Testing, Inspection, Certification""",3,0,2,0
"""Testing, Inspection, Certification, and  Safety Consulting and Training""",0,0,0,0
"""Trucking, general freight, local""",0,0,0,0
"""Truss Manufacturing""",39,0,13,0
"""Water & Infrastructure Management""",25,0,1,14
"""Water, Wastewater""",10,0,1,6
"""Wood Kitchen Cabinet and Countertop Manufacturing""",15,0,0,0
"""Wood Preservation""",9,0,0,0
"""Wood Window and Door Manufacturing""",13,0,6,0
"""lens manufacture/laboratory",1,0,1,0
+V2G2I2:T2,1,0,1,0
0,82,0,45,19
1,61,0,3,35
10,33,0,21,7
112120 Dairy Cattle and Milk Production,0,0,0,0
112310 Chicken Egg Production,27,0,11,9
"115112 Soil Preparation, Planting, and Cultivating",1,0,1,0
115310 Support Activities for Forestry,2,0,1,0
15,0,0,13,0
1542,0,0,0,0
171,3,0,0,0
1731,7,0,0,3
1790,2,0,2,0
213112,7,0,0,1
236115 New Single-Family Housing Construction (except For-Sale Builders),0,0,0,0
236116 New Multifamily Housing Construction (except For-Sale Builders),0,0,0,0
236118 Residential Remodelers,62,0,29,18
236220 Commercial and Institutional Building Construction,0,0,0,0
238110,1,0,0,0
238150 Glass and Glazing Contractors,23,0,4,12
238210 Electrical Contractors and Other Wiring Installation Contractors,11,0,6,3
"238220 Plumbing, Heating, and Air-Conditioning Contractors",36,0,17,16
238390 Other Building Finishing Contractors,7,0,6,1
238990 All Other Specialty Trade Contractors,0,0,1,0
2425,6,0,4,0
311111 Dog and Cat Food Manufacturing,0,0,0,0
311211 Flour Milling,0,0,0,0
311224 Soybean and Other Oilseed Processing,9,0,2,7
311352 Confectionery Manufacturing from Purchased Chocolate,8,0,1,5
311423 Dried and Dehydrated Food Manufacturing,7,0,6,2
311520 Ice Cream and Frozen Dessert Manufacturing,0,0,0,0
311612 Meat Processed from Carcasses,14,0,2,7
311812 Commercial Bakeries,10,0,4,2
"311824 Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",31,0,1,17
311942 Spice and Extract Manufacturing,37,0,17,5
311999 All Other Miscellaneous Food Manufacturing,9,0,2,4
312111 Soft Drink Manufacturing,4,0,0,2
312120 Breweries,13,0,2,5
313230 Nonwoven Fabric Mills,5,0,1,1
315990 Apparel Accessories and Other Apparel Manufacturing,2,0,0,0
321214 Truss Manufacturing,1,0,0,1
321991,249,0,54,109
322211 Corrugated and Solid Fiber Box Manufacturing,29,0,10,5
322212 Folding Paperboard Box Manufacturing,4,0,0,4
322220 Paper Bag and Coated and Treated Paper Manufacturing,0,0,0,0
323111 Commercial Printing (except Screen and Books),9,0,6,0
323113 Commercial Screen Printing,25,0,3,9
323117 Books Printing,30,0,9,13
325211 Plastics Material and Resin Manufacturing,10,0,2,1
325412 Pharmaceutical Preparation Manufacturing,17,0,1,13
325510 Paint and Coating Manufacturing,2,0,0,2
325611 Soap and Other Detergent Manufacturing,0,0,0,0
325620 Toilet Preparation Manufacturing,7,0,1,6
325998 All Other Miscellaneous Chemical Product and Preparation Manufacturing,0,0,0,0
"326130 Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",3,0,0,2
326191 Plastics Plumbing Fixture Manufacturing,5,0,2,1
326199 All Other Plastics Product Manufacturing,10,0,0,8
"326291  Mechanical rubber goods (i.e., extruded, lathe-cut, molded) manufacturing",0,0,0,0
326299 All Other Rubber Product Manufacturing,1,0,1,0
327120 Clay Building Material and Refractories Manufacturing,12,0,5,4
327215 Glass Product Manufacturing Made of Purchased Glass,27,0,6,19
327331 Concrete Block and Brick Manufacturing,15,0,10,4
327390 Other Concrete Product Manufacturing,8,0,3,1
331221 Rolled Steel Shape Manufacturing,1,0,0,1
332114 Custom Roll Forming,46,1,19,3
332311 Prefabricated Metal Building and Component Manufacturing,7,0,0,7
"332431  Aluminum cans, light gauge metal, manufacturing",70,0,28,27
"332431  Lids and ends, can, light gauge metal, manufacturing",1,0,0,0
332710 Machine Shops,3,0,0,2
"332722 Bolt, Nut, Screw, Rivet, and Washer Manufacturing",24,0,1,17
"332813 Electroplating, Plating, Polishing, Anodizing, and Coloring",20,0,4,13
332912 Fluid Power Valve and Hose Fitting Manufacturing,13,0,1,11
332999 All Other Miscellaneous Fabricated Metal Product Manufacturing,9,0,3,3
333415 Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,18,0,1,8
333511 Industrial Mold Manufacturing,0,0,0,0
333618 Other Engine Equipment Manufacturing,18,0,5,8
333922 Conveyor and Conveying Equipment Manufacturing,10,0,1,4
334417 Electronic Connector Manufacturing,2,0,0,2
334418 Printed Circuit Assembly (Electronic Assembly) Manufacturing,5,0,2,2
334510 Electromedical and Electrotherapeutic Apparatus Manufacturing,1,0,0,0
"334511 Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",2,0,0,1
"334513 Process control instruments, industrial, manufacturing",2,0,0,0
334516 Analytical Laboratory Instrument Manufacturing,3,0,1,2
334519 Other Measuring and Controlling Device Manufacturing,0,0,0,0
335314 Relay and Industrial Control Manufacturing,0,0,0,0
335911 Storage Battery Manufacturing,2,0,2,0
335999,0,0,0,0
336120 Heavy Duty Truck Manufacturing,11,0,4,0
336211 Motor Vehicle Body Manufacturing,26,0,13,8
336612 Boat Building,54,0,10,12
337110 Wood Kitchen Cabinet and Countertop Manufacturing,26,0,19,4
"337215 Showcase, Partition, Shelving, and Locker Manufacturing",11,0,2,2
339112 Surgical and Medical Instrument Manufacturing,0,0,0,0
3399,0,0,0,0
37114,3,0,0,0
3pl distribution,0,0,0,0
423110 Automobile and Other Motor Vehicle Merchant Wholesalers,39,0,17,9
423120 Motor Vehicle Supplies and New Parts Merchant Wholesalers,10,0,7,2
423130 Tire and Tube Merchant Wholesalers,44,1,28,4
"423330 Roofing, Siding, and Insulation Material Merchant Wholesalers",0,0,0,0
423390 Other Construction Material Merchant Wholesalers,0,0,0,0
423420 Office Equipment Merchant Wholesalers,7,0,2,3
423510 Metal Service Centers and Other Metal Merchant Wholesalers,30,0,8,18
423720 Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,32,0,14,5
423730 Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,5,0,1,2
423810 Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,9,0,3,2
423820 Farm and Garden Machinery and Equipment Merchant Wholesalers,74,0,22,8
423830 Industrial Machinery and Equipment Merchant Wholesalers,5,0,4,1
423840 Industrial Supplies Merchant Wholesalers,2,0,1,0
423860 Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,0,0,0,0
423930 Recyclable Material Merchant Wholesalers,4,0,4,0
423990,6,0,1,1
423990 Other Miscellaneous Durable Goods Merchant Wholesalers,94,0,32,40
424130 Industrial and Personal Service Paper Merchant Wholesalers,6,0,3,3
424410 General Line Grocery Merchant Wholesalers,46,0,27,15
424480 Fresh Fruit and Vegetable Merchant Wholesalers,35,0,10,18
424490 Other Grocery and Related Products Merchant Wholesalers,12,0,7,1
424590 Other Farm Product Raw Material Merchant Wholesalers,3,0,3,1
424720 Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),0,0,0,0
424810 Beer and Ale Merchant Wholesalers,114,0,15,75
424820 Wine and Distilled Alcoholic Beverage Merchant Wholesalers,30,0,8,10
424910 Farm Supplies Merchant Wholesalers,5,0,0,5
"424920 Book, Periodical, and Newspaper Merchant Wholesalers",5,0,8,0
424990 Other Miscellaneous Nondurable Goods Merchant Wholesalers,17,0,1,2
441110 New Car Dealers,21,0,10,0
441120 Used Car Dealers,0,0,0,0
"441227 Motorcycle, ATV, and All Other Motor Vehicle Dealers",2,0,1,0
"441228 Motorcycle, ATV, and All Other Motor Vehicle Dealers",0,0,0,0
441310,4,0,0,3
441320 Tire Dealers,24,0,5,3
441330 Automotive Parts and Accessories Retailers,0,0,0,0
441340 Tire Dealers,3,0,2,0
442110 Furniture Stores,10,0,5,4
442299 All Other Home Furnishings Stores,8,0,7,0
444110 Home Centers,4,0,1,1
444120 Paint and Wallpaper Retailers,13,0,4,7
444140 Hardware Retailers,29,0,14,2
444180 Other Building Material Dealers,10,0,8,1
"444220 Nursery, Garden Center, and Farm Supply Stores",1,0,0,1
444230 Outdoor Power Equipment Retailers,4,0,0,2
"444240 Nursery, Garden Center, and Farm Supply Retailers",7,0,6,1
445110 Supermarkets and Other Grocery Retailers (except Convenience Retailers),124,0,44,44
445292 Confectionery and Nut Retailers,31,0,16,10
445299 All Other Specialty Food Stores,12,0,12,0
451110 Sporting Goods Stores,3,0,4,0
452990 All Other General Merchandise Stores,0,0,4,0
453310 Used Merchandise Stores,134,0,49,48
453998 All Other Miscellaneous Store Retailers (except Tobacco Stores),3,0,3,0
454310 Fuel Dealers,4,0,1,2
455219 All Other General Merchandise Retailers,5,0,5,1
457110 Gasoline Stations with Convenience Stores,24,0,4,0
458110 Clothing and Clothing Accessories Retailers,9,0,5,1
"459120 Hobby, Toy, and Game Retailers",2,0,0,0
459510 Used Merchandise Retailers,0,0,0,0
459999 All Other Miscellaneous Retailers,0,0,0,0
481111 Scheduled Passenger Air Transportation,33,0,14,0
481211 Nonscheduled Chartered Passenger Air Transportation,3,0,2,0
481212 Nonscheduled Chartered Freight Air Transportation,3,0,1,1
481219 Other Nonscheduled Air Transportation,2,0,0,0
4841,0,0,0,0
484110,6,0,6,0
"484110 General Freight Trucking, Local",3,0,0,1
"484121 General Freight Trucking, Long-Distance, Truckload",23,0,21,0
484210 Used Household and Office Goods Moving,24,0,6,12
"484220 Specialized Freight (except Used Goods) Trucking, Local",50,0,7,36
485210 Interurban and Rural Bus Transportation,4,0,2,1
485410,392,0,147,64
488490 Other Support Activities for Road Transportation,16,0,7,3
488991 Packing and Crating,14,0,4,4
4921,11,0,2,4
492100,14,0,14,0
492110 Couriers and Express Delivery Services,67,0,49,3
4922,2,0,2,0
492210,8,0,3,0
492210 Local Messengers and Local Delivery,17,0,11,8
493110,1,0,1,0
493110 General Warehousing and Storage,6,0,6,0
493130 Farm Product Warehousing and Storage,1,0,1,0
493190 Other Warehousing and Storage,22,0,4,9
5047,13,0,15,0
5085,3,0,1,2
511110 Newspaper Publishers,1,0,0,1
515112 Radio Stations,0,0,0,0
5159,0,0,0,0
516110 Radio Broadcasting Stations,0,0,0,0
"518210 Data Processing, Hosting, and Related Services",1,0,1,0
522110 Commercial Banking,0,0,0,0
522130 Credit Unions,12,0,2,1
522291 Consumer Lending,0,0,0,0
522292 Real Estate Credit,0,0,0,0
524210 Insurance Agencies and Brokerages,0,0,0,0
531110 Lessors of Residential Buildings and Dwellings,36,0,13,9
531120 Lessors of Nonresidential Buildings (except Miniwarehouses),0,0,0,0
531130 Lessors of Miniwarehouses and Self-Storage Units,1,0,1,0
531311 Residential Property Managers,18,0,9,4
531390 Other Activities Related to Real Estate,5,0,0,1
532283 Home Health Equipment Rental,19,0,7,4
532490 Other Commercial and Industrial Machinery and Equipment Rental and Leasing,9,0,2,3
533110 Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),1,0,1,0
541330,2,0,0,1
541330 Engineering Services,0,0,0,0
541519 Other Computer Related Services,0,0,0,0
541611 Administrative Management and General Management Consulting Services,1,0,0,1
541613 Marketing Consulting Services,1,0,1,0
"541614 Process, Physical Distribution, and Logistics Consulting Services",0,0,0,0
541620 Environmental Consulting Services,0,0,1,0
541690 Other Scientific and Technical Consulting Services,0,0,0,0
"541990 All Other Professional, Scientific, and Technical Services",0,0,0,0
5511,36,0,18,10
"551114 Corporate, Subsidiary, and Regional Managing Offices",1,0,0,1
"551114 Corporate,Subsidiary,and Regional Managing Offices",0,0,0,0
556127,0,0,0,0
561110 Office Administrative Services,4,0,3,0
561210 Facilities Support Services,2,0,0,2
561311 Employment Placement Agencies,2,0,1,1
561320,0,0,0,0
561320 Temporary Help Services,45,0,24,8
561710 Exterminating and Pest Control Services,54,0,36,4
561720 Janitorial Services,22,0,21,5
561730 Landscaping Services,21,0,5,15
561910 Packaging and Labeling Services,1,0,1,0
561990 All Other Support Services,19,0,2,12
562111 Solid Waste Collection,20,0,14,0
562219 Other Nonhazardous Waste Treatment and Disposal,3,0,2,0
562991 Septic Tank and Related Services,1,0,1,0
5812,2,0,2,0
6-12 School,4,0,1,0
6-12 school,2,0,1,0
6-8 School,5,0,1,3
6-8School,5,0,4,1
611110,6,0,3,0
611110 Elementary and Secondary Schools,0,0,0,0
611691 Exam Preparation and Tutoring,1,0,0,0
611699 All Other Miscellaneous Schools and Instruction,4,0,2,0
611710 Educational Support Services,14,0,1,0
621111 Offices of Physicians (except Mental Health Specialists),23,0,1,0
"621112 Offices of Physicians, Mental Health Specialists",20,0,3,3
621210 Offices of Dentists,9,0,3,0
621330 Offices of Mental Health Practitioners (except Physicians),8,0,0,2
"621340 Offices of Physical, Occupational and Speech Therapists, and Audiologists",2,0,2,0
621399 Offices of All Other Miscellaneous Health Practitioners,0,0,0,0
621420 Outpatient Mental Health and Substance Abuse Centers,34,0,13,7
621493 Freestanding Ambulatory Surgical and Emergency Centers,0,0,0,0
621498 All Other Outpatient Care Centers,0,0,0,0
621511 Medical Laboratories,10,0,12,1
621610 Home Health Care Services,28,0,42,13
621910,3,1,0,0
621910 Ambulance Services,14,0,5,2
621999 All Other Miscellaneous Ambulatory Health Care Services,3,0,0,0
622110,99,0,6,29
622110 General Medical and Surgical Hospitals,52,0,21,1
622210 Psychiatric and Substance Abuse Hospitals,16,0,19,4
622310 Specialty (except Psychiatric and Substance Abuse) Hospitals,14,0,3,9
623110 Nursing Care Facilities (Skilled Nursing Facilities),183,0,117,61
623210 Residential Intellectual and Developmental Disability Facilities,143,0,128,20
623220 Residential Mental Health and Substance Abuse Facilities,130,1,60,16
623311 Continuing Care Retirement Communities,78,0,100,32
623312 Assisted Living Facilities for the Elderly,259,0,74,86
623990 Other Residential Care Facilities,22,0,13,4
624110 Child and Youth Services,42,0,14,2
624120 Services for the Elderly and Persons with Disabilities,85,0,17,10
624190 Other Individual and Family Services,60,0,25,21
624221 Temporary Shelters,4,0,1,0
624229 Other Community Housing Services,5,0,0,2
624310,15,0,2,8
624310 Vocational Rehabilitation Services,28,0,13,5
624410 Child Care Services,123,0,17,23
711110 Theater Companies and Dinner Theaters,25,0,2,3
711130 Musical Groups and Artists,3,0,1,1
711211 Sports Teams and Clubs,57,0,1,0
712110 Museums,0,0,0,0
712130 Zoos and Botanical Gardens,63,0,25,36
713110 Amusement and Theme Parks,41,0,19,11
713210 Casinos (except Casino Hotels),5,0,2,2
713290 Other Gambling Industries,19,0,16,8
713910 Golf Courses and Country Clubs,13,0,0,6
713940 Fitness and Recreational Sports Centers,38,0,13,7
713950  Bowling centers,154,0,27,39
713990 All Other Amusement and Recreation Industries,0,0,0,0
721110 Hotels (except Casino Hotels) and Motels,82,0,35,24
721120 Casino Hotels,12,0,5,1
722310 Food Service Contractors,4,0,2,0
722320 Caterers,5,0,1,0
722511 Full-Service Restaurants,67,0,8,2
"722514 Cafeterias, Grill Buffets, and Buffets",0,0,0,0
7393,5,0,2,1
8051,15,0,21,8
8059,18,0,14,1
8099,7,0,2,1
811111 General Automotive Repair,0,0,0,0
811191 Automotive Oil Change and Lubrication Shops,19,0,13,4
811192 Car Washes,28,0,6,20
8113,0,0,0,0
811310,6,0,2,0
811310 Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,10,0,4,1
811490 Other Personal and Household Goods Repair and Maintenance,0,0,0,0
812310 Coin-Operated Laundries and Drycleaners,0,0,0,0
812320 Drycleaning and Laundry Services (except Coin-Operated),1,0,0,0
812331 Linen Supply,6,0,3,5
812332 Industrial Launderers,3,0,3,0
812910,20,0,9,3
812930 Parking Lots and Garages,0,0,0,0
813211 Grantmaking Foundations,6,0,6,1
813410 Civic and Social Organizations,10,0,3,2
813940 Political Organizations,11,0,2,5
"813990 Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)",15,0,3,3
8211,59,0,19,16
8422,4,0,1,0
842201,7,0,0,0
84341,2,0,0,0
9-12 School,19,0,2,13
911650317,1,0,0,1
922140 Correctional Institutions,0,0,0,0
923110 Administration of Education Programs,0,0,0,0
ABA Therapy,153,0,29,55
ACCOUNTING FIRM (NJ),4,0,2,2
ACUTE CARE FACILITY,163,0,29,27
ADDITIVE MEDICAL MANUFACTURING,0,0,0,0
ADMINISTRATION OFFICES,1,0,0,0
ADMINISTRATIVE SUPPORT,0,0,0,0
AEROSPACE & DEFENSE,0,0,1,0
AG Manufacturing,30,0,8,9
AG SUPPLY,0,0,0,0
AGRICULTURE,21,0,6,4
AIR CONDITIONING EQUIPMENT-DEALERS OR DISTRIBUTORS,0,0,0,0
AIR PRESSURE OR STEAM GAUGE MFG.,2,0,2,0
ALL OTHER AMUSEMENT AND RECREATION INDUSTRIES,56,0,15,17
ALL OTHER GENERAL MERCHANDISE STORES,0,0,0,0
ALL OTHER MISCELLANEOUS AMBULATORY HEALTH CARE SERVICES,1,0,1,0
ALL OTHER MISCELLANEOUS MANUFACTURING,2,0,2,0
ALL OTHER SPECIALTY FOOD STORES,0,0,0,0
ALL OTHER SPRECIALTY TRADE CONTRACTORS,8,0,2,4
ALL OTHER TRAVELER ACCOMMODATION,0,0,0,0
AMBULANCE SERVICE COS. ALL OTHER EMPLYS,0,0,0,0
AMBULANCE SERVICES,12,0,6,3
AMUSEMENT AND THEME PARKS,2,0,1,0
"AMUSEMENT CENTERS (ARCADES, NOT AMUSEMENT PARKS)",0,0,0,0
AMUSEMENT PARK OR EXHIBITION OPERATATION,8,0,2,2
AMZL DSP,14,0,1,0
APARTMENT OR CONDOMINIUM COMPLEX OP NOC ONSITE,24,0,16,4
ASPHALT WORKS(TEMPORARY LOCATIONS OPER ROAD PAVING,0,0,0,0
ASSISTED LIVING,9,0,7,5
ASSISTED LIVING FACILITIES FOR THE ELDERLY,2,0,1,1
ATMs (automatic teller machines) installation,19,0,8,1
ATMs (automatic teller machines) manufacturing,53,0,33,1
AUDIO OR VISUAL RECORDING MEDIA MFG.,0,0,0,0
AUTO REPAIR,1,0,1,0
AUTO REPAIR/GAS STATION,0,0,0,0
AUTOMATIC SCREW MACHINE PRODUCTS MFG.,0,0,0,0
AUTOMATIC SPRINKLER INSTALLATION,2,0,2,0
AUTOMOBILE DISMANTLING,4,0,2,2
AUTOMOBILE MFG. OR ASSEMBLY,26,0,16,0
AUTOMOBILE PARTS & SUPPLIES DISTRIBUTORS(NOT PUBLI,0,0,0,0
AUTOMOBILES AND OTHER MOTOR VEHICLES,202,0,35,107
Abattoirs,37,0,11,13
Abortion clinics,30,0,7,0
Abrasive Blasting and Painting,0,0,0,0
"Abrasive points, wheels, and disks, dental, manufacturing",42,0,16,13
Abrasive products manufacturing,167,0,62,70
Abrasives merchant wholesalers,35,0,7,5
"Abrasives, natural, mining and/or beneficiating",0,0,0,0
Absorbent paper stock manufacturing,14,0,8,4
"Absorbers, gas, heavy gauge metal, manufacturing",34,0,9,16
"Absorption analyzers, industrial process type (e.g., infrared), manufacturing",2,0,1,1
Abutment construction,19,0,3,9
Academic tutoring services,6,0,5,1
"Academies, college or university",1794,1,507,377
"Academies, elementary or secondary",2477,0,992,508
"Academies, junior college",24,0,9,2
"Academies, riding instruction",15,0,1,0
"Acceleration indicators and systems components, aerospace type, manufacturing",59,0,19,16
"Accelerators (i.e., basic synthetic chemical) manufacturing",16,0,6,8
Access flooring installation,103,0,39,30
"Accessories, clothing, men's and boy's, merchant wholesalers",13,0,8,3
Accident prevention associations,7,0,3,4
"Accidental death and dismemberment insurance carriers, direct",0,0,0,0
Accountants' (except CPAs) offices,1,0,0,0
Accountants' (except CPAs) private practices,0,0,0,0
"Accountants' (i.e., CPAs) offices, certified public",3,0,2,0
"Accountants' (i.e., CPAs) private practices, certified public",0,0,0,0
"Accounting (i.e., CPAs) services, certified public",2,0,0,1
Accounting machines merchant wholesalers,32,0,6,4
Accounting services (except CPAs),7,0,25,1
"Accumulators, industrial pressure vessels, heavy gauge metal, manufacturing",31,0,4,8
Acetal resins manufacturing,100,1,40,23
Acetaldehyde manufacturing,3,0,0,0
Acetate fibers and filaments manufacturing,12,0,4,2
"Acetate of lime, natural, made by distillation of wood",0,0,0,0
Acetate spun yarns made from purchased fiber,9,0,4,3
Acetic acid manufacturing,2,0,1,1
"Acetone, natural, manufacturing",2,0,2,0
Acetylene manufacturing,50,0,10,19
Acetylsalicylic acid manufacturing,44,0,12,15
"Acid dyes, synthetic organic, manufacturing",16,0,9,4
"Acid esters, not specified elsewhere by process, manufacturing",2,0,0,0
Acid oils made in petroleum refineries,20,0,14,3
Acid plant construction,17,0,8,2
Acid waste disposal facilities,5,0,1,1
"Acidity (i.e., pH) measuring equipment, laboratory analysis-type, manufacturing",54,0,12,27
Acidizing oil and gas field wells on a contract basis,0,0,0,0
Acidophilus milk manufacturing,143,0,55,37
Acids merchant wholesalers,49,0,20,13
"Acids, organic, not specified elsewhere by process, manufacturing",23,0,5,12
"Acorn squash farming, field, bedding plant and seed production",30,0,13,16
Acoustical ceiling tile and panel installation,164,0,49,28
Acoustical engineering consulting services,52,0,23,11
"Acoustical foam (i.e., sound barrier) installation",7,0,4,2
"Acoustical suspension systems, metal, manufacturing",61,0,11,35
Acoustical system engineering design services,3,0,0,2
Acoustics testing laboratories or services,20,0,6,7
Acrolein manufacturing,0,0,0,0
Acrylate rubber manufacturing,17,1,11,0
Acrylate-butadiene rubber manufacturing,4,0,3,1
"Acrylic and modacrylic filament yarn throwing, twisting, texturizing, or winding purchased yarn",1,0,0,0
Acrylic fibers and filaments manufacturing,5,0,1,2
Acrylic film and unlaminated sheet (except packaging) manufacturing,187,1,45,115
Acrylic resins manufacturing,40,0,17,10
Acrylic spun yarns made from purchased fiber,3,0,1,2
Acrylonitrile fibers and filaments manufacturing,1,0,0,0
Acrylonitrile manufacturing,3,0,1,0
Acrylonitrile-butadiene-styrene (ABS) resins manufacturing,2,0,2,0
Activated carbon or charcoal manufacturing,20,0,7,12
Activities related to Real Estate and Facilities Support Services,253,0,104,61
"Activity centers for disabled persons, the elderly, and persons diagnosed with intellectual and developmental disabilities",1075,3,704,221
Actuarial consulting services (except insurance actuarial services),0,0,0,0
"Actuarial services, insurance",0,0,0,0
"Actuators, fluid power, manufacturing",73,0,17,26
"Acupuncturists' (MDs or DOs) offices (e.g., centers, clinics)",125,0,38,17
"Acupuncturists' (except MDs or DOs) offices (e.g., centers, clinics)",0,0,0,0
Acute Care Facility,8,0,4,0
Acute Care Facilty,24,0,5,0
"Acyclic hydrocarbons (e.g., butene, ethylene, propene) (except acetylene) made from refined petroleum or liquid hydrocarbons",21,0,11,5
"Addition, alteration and renovation (i.e., construction), multifamily building",111,0,49,37
"Addition, alteration and renovation (i.e., construction), residential building",211,0,93,65
"Addition, alteration and renovation for-sale builders, commercial and institutional building",1458,2,485,436
"Addition, alteration and renovation for-sale builders, commercial warehouse",84,1,46,15
"Addition, alteration and renovation for-sale builders, hotel and motel",10,0,7,3
"Addition, alteration and renovation for-sale builders, industrial building (except warehouses)",4,0,2,0
"Addition, alteration and renovation for-sale builders, industrial warehouse",4,0,1,1
"Addition, alteration and renovation general contractors, commercial and institutional building",981,2,261,299
"Addition, alteration and renovation general contractors, commercial warehouse",49,1,7,17
"Addition, alteration and renovation general contractors, hotel and motel",4,0,1,0
"Addition, alteration and renovation general contractors, industrial warehouse",36,0,13,11
"Addition, alteration and renovation of single-family dwellings",37,0,22,9
"Addition, alteration and renovation, commercial and institutional building",210,0,69,58
"Addition, alteration and renovation, commercial warehouse",5,0,1,1
"Addition, alteration and renovation, general contractors, industrial building (except warehouses)",127,0,28,42
"Addition, alteration and renovation, hotel and motel",7,0,1,5
"Addition, alteration and renovation, industrial building (except warehouses)",51,1,9,30
"Addition, alteration and renovation, industrial warehouse",8,0,1,3
"Addition, alteration and renovation, multifamily building, general contractors",32,0,24,1
"Addition, alteration and renovation, residential building, for-sale builders",14,0,5,9
"Addition, alteration and renovation, residential building, general contractors",70,0,12,25
"Addition, alteration and renovation, single-family housing, for-sale builders",0,0,0,0
"Addition, alteration and renovation, single-family housing, general contractors",36,0,14,13
Additive manufacturing machinery manufacturing,13,0,7,2
"Additive preparations for gasoline (e.g., antiknock preparations, detergents, gum inhibitors) manufacturing",13,0,5,4
Address bar coding services,18,0,17,1
Address lists commercial printing (except screen) without publishing,0,0,0,0
Address lists screen printing without publishing,59,0,13,18
Adhesive Manufacturing,13,0,6,4
Adhesive tape (except medical) made from purchased materials,140,0,47,58
"Adhesives (except asphalt, dental, gypsum base) manufacturing",204,0,73,77
Adhesives and sealants merchant wholesalers,11,0,4,8
Adipic acid esters or amines manufacturing,1,0,1,0
Adipic acid manufacturing,4,0,2,1
Adiponitrile manufacturing,1,0,0,0
Admin,4,0,1,1
